Beans,Garlic,phaseolus vulgaris
Beans,Onions,phaseolus vulgaris
Beans,Peppers,phaseolus vulgaris
Beans,Sunflowers,phaseolus vulgaris
Beets,Mustard,beta vulgaris subsp. vulgaris
Beets,Pole Beans,beta vulgaris subsp. vulgaris
Broccoli,Cabbage,brassica oleracea
Broccoli,Cauliflower,brassica oleracea
Broccoli,Lettuce,brassica oleracea
Broccoli,Pole Beans,brassica oleracea
Broccoli,Tomatoes,brassica oleracea
Brussel Sprout,Tomatoes,brassica oleracea
Cabbage,Broccoli,brassica oleracea
Cabbage,Cauliflower,brassica oleracea
Cabbage,Strawberries,brassica oleracea
Cabbage,Tomatoes,brassica oleracea
Carrots,Dill,daucus carota
Carrots,Parsley,daucus carota
Cauliflower,Broccoli,brassica oleracea
Cauliflower,Cabbage,brassica oleracea
Cauliflower,Strawberries,brassica oleracea
Cauliflower,Tomatoes,brassica oleracea
Corn,Tomatoes,zea mays
Cucumbers,Herbs,cucumis sativus
Cucumbers,Melons,cucumis sativus
Cucumbers,Potatoes,cucumis sativus
Kale,Strawberries,brassica oleracea
Kale,Tomatoes,brassica oleracea
Lettuce,Broccoli,lactuca sativa
Melons,Cucumbers,Cucumis melo
Melons,Potatoes,Cucumis melo
Onions,Beans,allium cepa
Onions,Peas,allium cepa
Onions,Sage,allium cepa
Peas,Garlic,pisum sativum
Peas,Onions,pisum sativum
Peppers,Beans,capsicum annuum
Potatoes,Cucumbers,solanum tuberosum
Potatoes,Melons,solanum tuberosum
Potatoes,Squash,solanum tuberosum
Potatoes,Sunflowers,solanum tuberosum
Potatoes,Tomatoes,solanum tuberosum
Potatoes,Turnips,solanum tuberosum
Tomatoes,Broccoli,lycopersicon esculentum
Tomatoes,Brussels,lycopersicon esculentum
Tomatoes,Cabbage,lycopersicon esculentum
Tomatoes,Cauliflower,lycopersicon esculentum
Tomatoes,Corn,lycopersicon esculentum
Tomatoes,Kale,lycopersicon esculentum
Tomatoes,Potatoes,lycopersicon esculentum
